Geneid,SRR390728,SRR390729,SRR390730,p_value,adjusted_p_value
valT,0.0,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
lysW,0.0,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
valZ,0.0,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
lysY,0.0,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
lysZ,4.620083552488898,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
lysQ,0.0,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
zbiJ,6.808512250026917,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rybA,7.78865105557699,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rybB,7.095918200697526,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
serW,6.808512250026917,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
serT,5.308292573951326,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
serX,6.221608662818688,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
flgO,6.403599156856591,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
sraB,7.008982137209845,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
bhsB,7.383393131767288,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
C0293,6.557513296165079,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rdlA,4.620083552488898,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rdlB,4.620083552488898,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rdlC,4.620083552488898,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
narS,7.008982137209845,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rttR,6.221608662818688,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
tyrV,0.0,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
tyrT,0.0,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
mcaS,7.175897177131124,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
fnrS,7.095918200697526,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
ralA,7.55514525411388,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
kilS,6.690867246675167,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
micC,7.501107110760222,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rydC,6.221608662818688,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
sokB,4.620083552488898,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
mgrR,7.095918200697526,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
dicF,5.71210619513877,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
valV,5.71210619513877,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
valW,6.913762326121295,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rydB,5.308292573951326,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rprA,8.858820102616798,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
ryeA,7.55514525411388,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
sdsR,0.0,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
micL,5.308292573951326,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
motR,6.403599156856591,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
3'ETS-leuZ,6.557513296165079,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
